impact_id,training_id,avg_improvement,participants_assessed
fc018a2c-6100-44d1-ab15-52def8f22533,0cffc5b4-039c-48d1-81b5-eee25c477668,21.34,107
9bc4611f-464f-4dda-b451-60d61fecdfcf,2d92f9a2-a052-4298-abb2-490d8a526661,20.57,60
498e90ce-eb25-4c4f-bc79-b075ec859012,076908b6-5fb7-4688-b04e-f00898ad94d8,20.3,88
d1c6e66b-6fcf-432b-9df8-a0f0061f2cff,5985785b-b036-4bce-b27c-ef80b7d37ca5,18.07,51
82cf2301-bdc0-4dd9-b326-243de92fa22d,f7f2977c-146d-4603-8f91-5ee9d7fbbdea,20.44,131
35109f5c-e4d5-411e-8f36-1003638617aa,374dd07e-3829-49ee-b369-95fdabecca3a,20.4,96
a50e713a-7813-4e6b-820b-790fe72d507f,d7da5aec-e4f6-4d49-95a0-a8b9449b3ba2,19.81,76
5357d361-66bb-4801-93ed-f9a5c6fd2946,df1f3b6a-bcbf-4068-bd2c-358e756730ee,21.03,44
9e731e2d-60be-4cd0-8643-28318ffc97e1,421be5a3-fcf4-4a9d-8e42-ee0546f4b221,19.44,44
2666c63b-cdd3-4b67-9de7-a2c34cdd5083,5b0829d3-ea5b-4005-a252-0d4c77f688a4,20.23,24
6ac2ce3d-2798-47f1-82ee-0757d399e37c,9378be08-a008-4d5d-a1a3-542bfa7a0aed,19.37,111
2a19ad61-9825-49b3-936a-985ed6cb5b33,c96b8e6d-91fd-4a74-89fc-555dd20925e0,19.33,33
04268ed8-29f8-473f-a182-bc24abe6480e,8273dcd9-aca1-4870-9055-4caeb455631c,20.42,119
2f6aabbf-269f-45cb-bde2-062dcd431d76,87babe30-fff4-41cc-aa7b-58c7f070858f,19.11,23
ffb119bf-3711-45ae-8118-1412eee41c77,a9809bd5-3ec1-473a-ad50-87316cf31ccb,19.92,116
19ac3f11-499c-4ffb-ba71-8d71e2e8ecdd,99b78c66-e033-435b-ba29-f0d6c58db245,19.72,83
eb031a79-999f-48f1-99c0-41732243846c,161996ba-6e2f-46a5-801f-b9a7e7a89648,19.23,42
bb89240f-52a8-4efd-9999-c073cd199e2c,b2c6bfcb-241b-4d45-99bf-c2ef7c5e0320,20.1,98
d5be455d-533d-4255-aa7a-6ccf21831e6b,39694e73-00cb-468f-b883-cd236adf9e68,19.17,116
228ec6d6-5148-465e-8b90-fff0e35f24d6,3f65e09e-2a07-464c-8e9e-70ed5824845b,20.05,93
24ba0450-da7d-4047-a9cf-a7619e05dad3,c2a00ca1-c6c3-4f6a-8927-01007b9c4b99,17.65,29
b0198b5d-5792-4151-8bf7-8a848d62b977,abae2d84-cca9-4f95-92e0-1dc32a264cc2,20.65,23
2875c44a-b626-40a2-a074-5fc2e67960c0,9a3caeae-739d-4b7e-820a-02cd987a3574,19.13,34
c66f8825-92a8-4326-9deb-78c9fb65a44e,a3c5b763-f542-4807-b498-38fb2cbd17b6,20.35,113
56491b14-eb57-4c1b-b148-90da6ba83994,afaa374f-a86d-47ec-b073-bfecb00977d1,19.66,77
6204a177-b9de-4771-97b4-8c6fd8209c33,81e0b5a4-36a9-4a5c-b6fc-04a851be0fe9,20.64,69
7738e1de-3807-40dc-9807-6483c4292dfe,5324a01f-525a-4c8c-9dcb-d766d0cd02d4,20.4,80
f9f18b0e-9f29-4d3b-b21f-b999c5256003,abd0daab-85a1-4020-8506-80bede6607e3,18.84,84
5d728a1f-63d2-43ee-bb6c-e16c17b84c43,185a14d6-5e34-480e-85cc-e061b7ac1c1e,19.09,37
47cced17-88d5-477b-8725-7342e77b8b1a,846c77ee-ebe5-46aa-b841-10202e313c34,20.91,83
78e4a062-e968-481a-9ea5-9867c6214230,aa51cd48-077a-41a1-8376-962784db5e4a,19.78,83
fbde6fc4-bcc9-441d-926f-efec7ad492d4,e848d7be-6562-42ca-88b7-261232c03e07,20.33,31
b0b2fc54-aad6-4bb7-b3e1-51c9b7ce0249,8fdd835e-9f06-4f42-9811-2b4bb7c995e7,20.44,59
3a60880a-10a7-4c38-a378-e2b6b4dab076,1eaaeb44-8a04-4024-acea-491c2e2a02f7,17.89,23
d1123096-927f-4b04-83f4-6b66fd0ade20,87e5e388-c127-4205-a801-09657040f6d6,19.21,92
e8309d1c-69db-4e07-99b4-2cca3e856b0c,74fcf43f-9c2a-4782-881e-6488525c6eea,20.26,53
55ca7fbf-50ca-4d18-8a23-75b7e6cf1258,e745bf31-909e-435d-b182-8dce9bd59480,18.8,22
d3ee17b4-4433-4ca5-a2a2-61ce7fda02fa,47ecacb9-16cf-46fe-9f6f-541d803a5952,20.2,34
0bee5678-cc86-458b-bb54-aad7d772c767,7d6965d8-ca95-412d-9b6d-2af9d3ee4714,18.05,75
4c069ccb-3bc9-481f-92a4-a11bdcd45923,a79da704-d06b-43d0-8d33-aab4050d61b6,20.61,127
05eff418-9026-4cee-9c68-5d395d751c26,2566d9f5-1b21-428d-be30-d46b94ca88d4,21.28,32
6712254b-966a-41dd-93d1-0b86de562e60,5e06f144-094e-491a-870a-573ace6de73a,19.42,36
f90aec90-790c-4709-a1d9-e39f9610220a,fbff968a-984a-4af7-841b-1467770129bb,21.1,68
621e877d-9b3b-4a4c-aa74-42f193b817b8,971dee51-3c03-445f-879d-dd1b8bfddfd7,17.53,32
05687fcd-3808-4b89-94a4-1085e2baf37f,f0d2c2e3-8427-4dbb-ac29-289131190834,21.55,48
8e88a55e-02a6-479b-b858-3a7f9e78f7ec,c4d2d5a9-11a8-4fcb-8f0a-fd80121c4e74,20.6,26
c1fb511b-8847-4544-9874-35120201b615,49194492-1e9e-409b-a5de-ae740ebaeaac,20.16,38
ad3d5db6-f9e3-4c97-8fe8-8cd791f29402,af3a1560-18e3-4c9b-afa3-43af63c56f6c,20.03,110
fe6c46ca-4e4b-4f48-817b-15445d71c816,51ecd8da-4904-4521-98b7-1f30597b73fe,20.02,52
620fd0b7-d786-4610-a6fa-7edf17a02b17,a942ffb3-3b97-4832-bae3-1544f157db06,19.56,86
eaec5e1f-1e0b-4a1f-9b34-05c80a6ad556,bac96642-1a76-418e-b04e-c3a0c417b844,20.43,40
e144dcc9-d4ed-4e18-8de6-00e13137a29a,340a077e-da4f-45fa-bae4-2a3aedbedf2f,20.45,117
d2220384-3bd3-44f3-9c83-8fea65deb2ef,694913ea-8432-44a2-8237-1277a73ef741,19.52,44
ef112d76-aa9b-4786-b7c2-b82964406ec1,7e1aece8-405c-4873-9422-071e76a8811c,19.76,88
c7b719a6-e2d8-464a-9401-d9ba2ca3f314,234669d9-2678-4a98-aab5-c35d07257f38,19.81,104
9a364ae4-e200-4d35-8994-d827202d6e8d,af66478f-61d0-4564-bf30-dc1cb8d93134,20.44,99
d2a856ea-d4f0-433e-942b-a3894f5b06db,b1aa6cd7-8da0-4bc0-8e4e-bf49b1e5d216,20.77,85
17bc48f9-0314-44f1-8669-8f6115282f0d,0059c17a-c17b-4987-b568-fb3f55d862b0,18.68,59
bb23ad86-0d9a-4feb-8f59-f73b829f642c,7a32dcef-74f2-4e45-907f-9d9c7246f9e7,19.45,28
5fb01363-6a1e-4355-aa8d-6d752bdf13d1,d0aab790-06f7-4ffa-ae1f-0b2d1c5d1113,20.0,99
891aacfe-d85a-40df-acf9-aa31e446580c,ffcb8954-8952-4d79-a544-1e769e5623d2,19.96,47
81e8bee2-b27d-43a0-ab6d-79e917923041,6e3943db-0675-4ae3-b00b-64c83e9b7ae4,19.43,126
80bdca7e-2478-4ff6-a58e-d70ab566ee73,cc89ab72-6164-49e2-9074-75e6720b8b89,21.06,69
8aaa3180-a612-4d2d-958b-0e2a23af92ae,7a22ef80-5aa4-49db-8dcf-fadb43abc582,19.3,31
514d88bc-b1f5-4c1e-94f1-707c71ca6356,4ddc0c03-19c7-4698-a9ed-3042c9a220fc,20.75,124
d00a79a1-fd0c-43ac-a035-c23c8ceb333b,064ced38-a4a3-4296-9497-51f1ec84762e,18.71,17
dc203ccd-991f-4d88-aeff-47cad369a3ad,8a6e7902-7ab9-4894-875d-3dc86bf0b67c,20.74,79
30ac9f3d-6cc3-4395-8a79-7cad25587817,2f2ed964-e074-44cd-8cf2-f5e76cd35bf9,20.21,74
2b12cb09-56cd-4d39-8f7e-ed5fa1fd75d1,746bc9c2-488a-41ea-ad24-ea3845e118e8,20.53,72
58af0b13-f8cc-4230-8217-78304a1021a4,b79d3c80-c383-4096-81b8-f9b03b33bff0,20.08,32
7949e65f-9c48-4ce3-bc79-05325bf7002c,29e09cbc-edb7-46db-80b5-3307e432be26,19.8,28
95f17771-4403-417b-bb1e-c1ce21b0517c,0a7dd86b-1571-4111-a0e3-f386ef5229fe,19.52,111
d62a678b-6c7b-4ae6-ab8f-6879d7211c2c,9de4aa4d-98aa-4b87-9320-c4d943a11088,20.62,145
bb9ce046-dd53-489d-9ef2-32c6c2b3e230,e631d273-74e0-4b4e-a563-b55b4efa7f8d,19.2,19
b11018ca-f7af-4bf4-9600-315e31704470,53926782-2321-409e-b70b-c13a984b3915,21.22,54
af527c5e-eef3-41af-83c6-ea121fec9fad,a385420d-1c81-4bd6-ae6e-57c10e840c2a,20.04,94
d1aefabf-0eb5-4cce-b1b7-4a25c3fe95ea,1b272aae-6f71-4a22-898f-dac31a056525,18.73,128
b74237dd-2f90-4af5-b8bc-cf0ac76af276,65fad4ef-a4a2-4eeb-a383-bbc491f5eb57,20.13,106
7be99087-ffbf-4043-bf79-37081d656ab4,942aaf7d-32fa-4203-af12-a39714a20f16,20.3,109
027b417a-fe8f-4616-95a3-e29c59f2f530,ae9832d2-3aca-4b50-b302-a17deb2047d3,19.19,19
bfe13974-4dd2-4b3f-a88e-bbbef771c383,563263fa-d7cc-4e3b-8139-c9cf3ad91200,20.69,115
bd3c218b-bf60-419d-9a89-29cdd584a53d,ce3e74bb-c0d7-4407-8a14-6d3838d62269,19.36,70
6a597d92-a4a3-493f-bc4f-c321d3aed8cc,f0ea93f1-8b27-4b27-80f7-b6db9caa10dc,17.61,43
619f9740-3254-4020-8472-cbd4fda141db,bf82f506-0d48-44a3-9c24-e3a73b8e88f6,19.7,29
12fc47fb-02ec-4e28-95c6-acca1b4e2148,daa96872-b87d-40bb-85e0-6ac6bb796ed1,19.07,74
30530de6-4d0f-44d0-a835-09f01a3fecde,f660fa91-4e75-4ceb-ac5b-f212e4e70fc5,19.06,52
4923252e-b9fb-49ed-9a23-1e4779717802,87da110e-cd5f-406a-a1d8-ed84c396a4ba,19.58,20
6c698600-a5dc-4f38-8041-2de3a4b5c428,17a7bd61-0e20-4987-bf99-e0b3c71f746a,19.92,87
fd7e84b6-4146-40bf-b2b3-6471edbd7751,08df6b8b-7536-432b-ad89-a5410148bb9e,19.6,39
4811bf71-a6df-4873-8344-d2a8de31f0fa,589e044d-5cf9-4b69-bd1e-03bb6043c373,19.19,72
ea1d8d8a-0806-40b4-9025-9fc7ee817436,57e7e4ad-176a-4b49-b62a-f1f36279b3d7,18.65,37
6fee3a0c-caba-4702-a136-eaa2bd78e3f1,2c9af4ed-0e9d-4657-9e9a-5d6778b0bc2c,21.13,83
c4523d27-37fc-43af-8f79-a23a2bdcb47e,c2169e3b-c8ee-41bc-8959-641742e98188,19.99,134
ab5811be-927a-45de-b272-2619c1a82764,d038e8c0-0e5e-438d-b5d9-802b4dcbaf6c,20.62,29
fffbba15-a311-4f53-ae40-4d5255f9b7de,1139cf38-ee2f-4640-bd61-e7ae8612b170,19.28,56
30f4cd06-b6ca-4e0d-9b0d-ec153af95b25,0a38c00f-1325-4cbe-b39d-ee28c803155a,20.16,80
330a6845-d61d-4f39-94b5-7a304f40778c,c2692f87-be7d-4285-8a9b-3eb421472a94,20.46,57
ff1e4d0e-e9a4-458c-9975-1ee714a13189,59fee2b8-b17e-44d6-b431-84b4e45f4f77,20.5,86
bfb85fc4-2695-4521-b5df-e878bca454b9,52822bbf-551f-45e7-9c63-b35efa0db4df,20.08,130
3a669695-0eee-48f0-adef-d20f33115cae,26a28e7e-f6de-4b60-be1e-a7f448c31036,20.57,116
60229851-72c7-4715-95e0-c690c230c649,21a92b7b-c4c2-48de-a440-496b85bb8d1d,19.73,53
5b603a4a-3346-4ea1-a5d3-48b868d2a70f,641e6850-d065-4c43-8698-63489d5fae8c,20.72,115
e700a8e9-974c-4bed-bfb3-ab1bcd81a0dd,b95608f5-5ae0-4233-9b36-eab661e3733f,19.65,136
49847dfd-a6da-4ddd-b98b-c9a86d678ec6,b8bedea4-a3ba-4fe5-a9fb-93e990f8ca68,20.84,124
5f9b37e6-9132-4308-a465-0fc23792672e,5b169ca1-be02-4ad6-bd98-52e7e04215af,20.0,78
44802d5b-b9dc-44a5-a6d2-3ec599836ef0,6101ea4b-516c-4cb2-8201-fd9ac57005f0,20.77,39
dba82491-26f1-432f-870f-b22f7d33c969,3d0e81d6-6359-4638-93ba-84137ba5d6d2,19.91,90
bc04507e-fc3e-4bd1-8dc0-d8431e75d3dc,9cdbbb36-e83d-4eed-8d29-1587aae739f3,20.75,92
13919e43-a44b-4fd3-a151-42acb377d788,9fbc0380-e8f0-4520-9236-a22b9efc073f,20.02,133
d77a1346-59c0-45c1-9994-a0ea06f340b1,ce799c00-a550-4e0f-81f1-9602a678f00b,19.95,128
c10ac587-b647-4575-a439-e10996bf3299,58fc6115-1cb1-4290-b1be-087eccdbf7d2,20.23,78
7e8b9f6e-fc70-4c97-885c-cf55b9a08bb6,45ded8ed-d041-415c-9de3-02029817c947,20.44,48
3ba70fea-b2bf-46e5-aea8-60309dc7dd0d,90508379-5bdf-46cf-820f-331243124a40,19.58,119
4cf610e6-88e2-445d-8572-3e27778c1829,816a1794-259a-4e2c-9408-1a897e62b2ee,19.07,29
136796a1-512c-49b9-84d5-dac174c30233,16612158-adf4-4012-807e-e6bb6273c0c8,19.58,38
c2a72df8-d183-4436-8165-85f66d4315e1,b351d564-1886-4094-bbbc-71c3384edcfe,19.77,34
c3475370-a0f2-4508-976c-fba3ffb61ff3,8e2516b9-fc46-4405-b110-bdea80212193,21.04,87
c7b8c1ff-9603-43d5-8b11-72939a7b8f53,b0fb1f81-c0a8-472e-aaaa-475d34c13f0b,19.87,92
092c6cb6-1f8d-4613-ad59-41eff032a993,f8f4549a-24bc-4cce-9fc9-3e98792a5c35,19.18,41
0f5c90b0-0195-43b3-a529-2ca01c9e8ef2,e7979ecd-f1c9-4ead-9739-57b97709bd8d,19.0,37
1eecfbe9-8443-4e06-a890-64517005f45a,f20a3fbf-0fc7-4677-871d-cb14617d45f1,19.96,143
80c5396b-9760-4666-9bc9-dc7c75d64813,ce411e8b-a560-4468-8e18-4a6450ddf0cb,19.61,107
87ce4149-69d2-4715-b88f-2f2af2404611,0900aa88-b470-4b21-a804-c441a96b6f18,19.31,91
f0b719d5-3f79-4aa2-b5fd-d6a584c2aa6a,fbea0834-7da6-4966-a9c2-010580e89ff2,23.43,16
dfcdbe0d-6d48-4469-a332-7790a33a2036,13c3cf74-34b2-4be5-ba2b-1b99b3ab82a3,19.92,86
a8b68cee-6dec-4447-9c92-5cadb6838cd8,9826abed-edb2-4cbb-b159-54390dfabdeb,20.53,111
54145b88-fee1-429b-b199-224961e09557,90ed1f64-fa22-4f99-ae53-fffb0d3b3036,20.68,109
e3e893ce-5d71-4a76-b6af-17416d7ae692,43422c96-be48-4807-abb5-bd2de6d794ba,20.74,39
3985be09-cf2c-45a4-94b3-4b6555f20b07,e860f3ab-5e9c-490b-95f1-1a46b9137227,19.96,76
7ed8b305-9f81-49a8-a3e3-beef2d8d4771,ee0ffe88-4ff9-41c3-9d86-cd348ec36c18,19.51,49
88865b57-f8c3-4ee1-8cef-240ee7aa034d,d306a479-0c8b-4eef-be81-f28ea96db5ea,19.56,109
e6fa0e24-eb12-4d69-9bdd-480ac1bd31e8,4d551fe4-7d57-4063-aabf-30eac199b807,19.18,29
034f2296-df32-45a1-9ae0-75cc5ebdf921,f6662490-4941-41e8-b93c-d7365bb8187e,19.65,57
ef95a3de-e479-42bd-b731-19f639e10cf3,515f9c6a-a134-43e4-ae44-5d02639f2bfd,18.54,59
d889c7b5-b454-4c10-9d54-b80808bf4d40,694211d9-2604-4ef5-9608-3a7114477ad4,19.96,93
ba79c8a5-4d77-45cc-b641-df7f346f2a7d,d19783f8-f124-4790-a5a3-911f399bc98a,21.53,20
263b3482-be08-4f5b-bc1e-c5c6b5ed5d8f,c4df7525-707b-431a-beaf-379a08b4c5a1,19.48,38
0d95d1cc-482f-4bc8-b822-fa3e3d1fc0e5,986a7f2f-3173-4fbd-b864-8e44cbf9718c,20.16,16
5f6d3aa3-53db-4b61-b881-bab90a50a596,f4d26982-b63f-4b94-be6b-81a2a02d11f3,20.04,68
e1acfdd8-27aa-4777-b17b-61e548c8cf94,49b8cc80-49b0-42cb-b13f-2b4fca09978d,19.82,35
750e3b3b-81e4-404e-bd98-b1b82c046d6d,6558f79d-079a-4347-bfa6-d24258e16d13,19.43,22
a573346b-80dc-425a-94dc-fe35ae4adc35,1c68a34a-f0a3-4519-a36a-8eca54774378,19.47,74
3e5243b2-36a1-4f2c-9e77-bc3bc12d743c,04b6dfe6-dac4-40be-9edd-02b244cabe4e,20.04,25
876b41af-f27f-438f-915c-bb071393ca3a,bb02c85f-99c5-4b5d-b442-79b85807b894,18.9,51
975be345-eba9-4029-a663-c5f5b28776bf,c71b619d-d386-4fe8-8d09-b9eff3a0468f,20.84,51
ead525e1-f995-483d-9b2d-e88e5a872982,89c0f41d-9c8a-4e92-89e1-1210935a3224,18.86,101
33562a35-6c42-41aa-9c7e-7a1ed7b67535,489947bf-2c08-43f4-84cd-34d64bf4dcb5,21.42,64
ce1c02da-34e5-48da-92bb-a0b01341c0e8,d476a753-8338-40d0-8ca1-ab52cb34b6f5,20.24,83
e705fdbf-adb1-4435-afc1-2c91ce53a490,c919c001-599c-47d2-9eb8-4c0b0c078c68,18.74,50
2be78869-f570-41db-aed7-426cf92da1f1,80f42e36-cb6a-4588-bf45-d276a7915d57,20.07,63
ef2192a8-799f-435a-b54f-ebb3c53d2ade,d13f4c55-467c-4dce-aec3-bcb07d6f301b,19.75,97
95dd4f42-acd6-4dd9-b46d-071e1f9002bb,e9564679-1f65-4f32-b4cc-b93ee5421d68,20.29,76
b20a6053-a6fd-4604-8062-f1cbc94d9ecd,0f3bb678-046b-4b3b-b1c1-0c33aa081fb6,19.21,63
3ffa66bb-a0aa-4c53-9194-704a30fc6414,f1e0f63a-ba79-4db6-9c7d-fb05c3a0a484,20.78,84
30eb97d0-9436-4ed4-8649-680c915b281f,05d0c29d-c81d-452a-addc-46a1cde0da46,19.87,44
1aab537d-dd4f-45b9-8354-d119e55a9071,f121fe07-9ca5-4264-bd7b-0821fb0ca9f9,20.6,75
67352856-5302-435f-a9a1-50053898947e,cdb99090-c7e6-43f1-9577-061043a418e9,20.6,101
9296a9d4-77e0-4c5d-9eec-358cf370c74a,a1f4f255-2214-41a8-a770-6eba4e9de87e,19.93,93
d4b767f9-eaf2-4429-8706-4e9f49b6dc0a,4acae961-55e9-4b2e-9e5e-da52a6c4cb45,21.13,43
00ff1962-47b7-4bc6-ab4e-b5b51dcd748f,477b01af-785d-4de8-9b60-5603579cb732,19.84,57
596241d8-622d-44d9-9d3e-0a49bbdbec94,46213e32-bb78-4cd7-9954-ad5954d29392,20.2,97
c5bcb296-895b-4fc4-b437-56457ee79484,4b93e5ae-6d33-41ca-9290-239fbe232551,20.95,40
da1309cb-98dc-4806-b0d3-8dcb3c5a7e6a,474dcc45-3d3a-415b-9b94-f2827dfd526d,19.61,82
1e27c481-ece8-4ffe-99db-3ef2c0dd0a51,df312a2b-8b13-4793-97b6-003568b07b2a,21.04,71
3cb47c64-ccaf-4eff-80ac-5b438084aca7,d5520925-2d02-4bd7-bcf1-bb3055a1b2c8,21.0,21
4595b59d-2cb7-4649-90c9-f982a3f27e60,6d09f015-00ea-4722-be62-12eea3d77218,19.96,127
f541610d-a765-478a-8bb4-362c45f1970e,ab0533ba-6ce1-4b46-a532-b71d2cf46882,20.37,104
6ed381a9-a83b-4a4b-99bd-4dbd7ad363f9,ea25518b-797e-4228-a162-e69f4abab51f,21.32,31
2e354d67-ea0b-4931-b8d7-1b80e8a98c25,f144862d-6b87-4b09-a777-ab5212e4a071,19.69,106
7c0f902c-b65c-434a-b809-1c329c5e9743,983e9e01-23b5-43ab-80a9-4ef299d8390f,22.83,21
08728239-926e-46d7-b5e1-5920971dbf0e,0b887bf3-ecd3-4b5c-bb93-f7fe6e5ed673,20.98,29
03acb66f-9912-4d64-b4ab-6d129d8f60b9,d35cb68f-c5cb-4a28-8288-43c846425bf2,19.06,41
e00db124-3607-478e-9066-bdc5048a8da0,f05a922b-9215-4066-8485-8e93442bee70,20.63,60
884d6f10-a836-448d-bc3e-9b097b4dc642,c3e886ef-ef94-4f08-b654-2d474aded739,21.69,56
bccfcc9c-42c6-443f-87df-17510fe001b6,51989872-c5c8-4333-acda-d4b43696d7c1,20.7,58
967bf360-6216-4411-ae6d-a07160be2546,76bed6f2-c17a-44e3-b79a-21966402121e,20.27,51
cdd3ebab-bff3-4402-aaf3-2a1e9d4e8471,8576a1cd-a0bd-4a3c-b1d7-60e3b79e44e3,20.84,123
53aaf4f2-271f-4b5c-9b97-58db6e888eb8,9744d73a-a658-449f-9116-57283d3f16f7,20.34,140
1b898174-5ff1-4ab9-a128-d1205ba75327,7642843c-36f8-4afe-84fd-cbb84c70723c,19.12,97
6e58be8f-6326-40ba-8512-c83fc48f8536,29e9a0c7-ab18-4715-91b9-0356ac9803ca,19.93,63
36d0fb26-c5d2-45c1-9de8-95a1a16f5396,c496d197-f4c5-4197-bc7a-83e33b67c848,20.07,108
32a48166-b422-4cc0-b92f-d7219696cf12,0f18691c-4fd1-4925-80ae-e3547c165d70,19.82,57
41215675-eff5-474d-814e-941199f282bc,6c8b61c5-dca7-47f5-a54d-bc35af9f8bd7,21.18,56
fd102950-1603-4748-aed5-a518f62af1fa,641b5bc4-7abb-4d79-9d9b-3c1791188ca9,19.44,63
